epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.776,0.86118,2.65023,1.22976,0.71991,0.69684,0.76519,0.61354,0.72765,1.15727,1.20795,9.25179e-05,9.25179e-05,9.25179e-05
2,505.593,0.81906,1.53059,1.20964,0.7645,0.76158,0.8378,0.65402,0.78701,1.01333,1.30755,0.000181518,0.000181518,0.000181518
3,758.482,0.81012,1.35468,1.21374,0.85269,0.80184,0.89823,0.70983,0.74494,0.80553,1.30471,0.000266848,0.000266848,0.000266848
4,1010.15,0.79548,1.22689,1.21189,0.87638,0.85301,0.9274,0.74748,0.71394,0.66631,1.26726,0.000261487,0.000261487,0.000261487
5,1261.83,0.76175,1.10196,1.19183,0.85758,0.85187,0.92919,0.74404,0.73809,0.68627,1.28903,0.000255982,0.000255982,0.000255982
6,1513.55,0.74232,1.02069,1.1776,0.902,0.87461,0.95322,0.77186,0.71481,0.56053,1.29593,0.000250478,0.000250478,0.000250478
7,1765.16,0.71841,0.94679,1.16349,0.89467,0.87344,0.94899,0.77796,0.68943,0.55156,1.25547,0.000244974,0.000244974,0.000244974
8,2016.94,0.70797,0.92844,1.15312,0.92511,0.9031,0.95907,0.78846,0.67076,0.49684,1.2631,0.000239469,0.000239469,0.000239469
9,2268.55,0.69411,0.88209,1.14469,0.92514,0.90688,0.96795,0.78965,0.70507,0.48533,1.27964,0.000233965,0.000233965,0.000233965
10,2520.49,0.68529,0.85326,1.14246,0.92212,0.92618,0.9681,0.79996,0.67723,0.48822,1.25549,0.00022846,0.00022846,0.00022846
11,2772.22,0.68001,0.82383,1.13619,0.93991,0.92912,0.97514,0.8075,0.66347,0.42911,1.24192,0.000222956,0.000222956,0.000222956
12,3024.04,0.66408,0.79852,1.12962,0.94123,0.91972,0.96844,0.80074,0.6703,0.44983,1.25097,0.000217452,0.000217452,0.000217452
13,3275.65,0.65888,0.78425,1.1237,0.93944,0.93237,0.97262,0.80674,0.66097,0.42606,1.24368,0.000211947,0.000211947,0.000211947
14,3526.94,0.64938,0.77071,1.12009,0.94683,0.93044,0.97712,0.80957,0.66629,0.41675,1.24378,0.000206443,0.000206443,0.000206443
15,3778.49,0.64605,0.74391,1.11567,0.94021,0.94684,0.97658,0.81221,0.65449,0.40046,1.24138,0.000200938,0.000200938,0.000200938
16,4030.21,0.64144,0.73168,1.11594,0.95472,0.94638,0.97836,0.82045,0.64476,0.37797,1.24378,0.000195434,0.000195434,0.000195434
17,4281.53,0.635,0.72185,1.10968,0.95335,0.93547,0.98149,0.81766,0.65997,0.38207,1.2444,0.00018993,0.00018993,0.00018993
18,4532.69,0.62382,0.68802,1.10188,0.95342,0.94791,0.98082,0.82532,0.63804,0.36649,1.22467,0.000184425,0.000184425,0.000184425
19,4784.17,0.61891,0.68938,1.09639,0.95445,0.94693,0.98023,0.81739,0.65853,0.37845,1.23353,0.000178921,0.000178921,0.000178921
20,5035.43,0.61495,0.67911,1.09873,0.95543,0.95736,0.98046,0.8229,0.63906,0.35875,1.23819,0.000173416,0.000173416,0.000173416
