epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.946,1.06839,1.78748,1.32296,0.55743,0.35543,0.35476,0.23064,1.34358,2.67813,1.6608,0.000415106,0.000415106,0.000415106
2,295.434,1.12539,1.24399,1.34263,0.61151,0.56117,0.60015,0.38835,1.198,1.6145,1.54878,0.000815304,0.000815304,0.000815304
3,444.521,1.11586,1.18827,1.34931,0.71669,0.72768,0.79238,0.55253,1.03177,1.24146,1.43921,0.001199,0.001199,0.001199
4,592.666,1.06355,1.04867,1.30401,0.7738,0.66037,0.76399,0.52889,1.05351,1.21149,1.42713,0.00117575,0.00117575,0.00117575
5,740.715,1.03382,0.96771,1.28,0.81152,0.77013,0.84466,0.60767,1.00034,0.94877,1.37686,0.001151,0.001151,0.001151
6,888.803,0.99977,0.90066,1.26565,0.88341,0.81219,0.88643,0.667,0.89813,0.76134,1.27649,0.00112625,0.00112625,0.00112625
7,1036.77,0.95653,0.83222,1.2339,0.88751,0.84233,0.90737,0.67958,0.91836,0.72399,1.31232,0.0011015,0.0011015,0.0011015
8,1184.78,0.94179,0.81888,1.23011,0.82965,0.73335,0.85131,0.63769,0.95037,0.91656,1.33235,0.00107675,0.00107675,0.00107675
9,1332.88,0.94807,0.78151,1.2193,0.87665,0.86966,0.92045,0.70666,0.88881,0.68733,1.27316,0.001052,0.001052,0.001052
10,1480.94,0.93459,0.75521,1.22457,0.89041,0.88198,0.93028,0.70907,0.88999,0.6463,1.26959,0.00102725,0.00102725,0.00102725
11,1629.05,0.90192,0.72014,1.20171,0.9076,0.88371,0.94276,0.71312,0.90536,0.6116,1.2871,0.0010025,0.0010025,0.0010025
12,1776.96,0.90061,0.71142,1.19758,0.91795,0.86741,0.93706,0.7152,0.8732,0.61151,1.29874,0.00097775,0.00097775,0.00097775
13,1924.73,0.88157,0.67081,1.19068,0.86699,0.90189,0.93895,0.72125,0.84843,0.59523,1.2593,0.000953,0.000953,0.000953
14,2072.94,0.8814,0.66782,1.18363,0.8957,0.88846,0.93358,0.7132,0.86387,0.61825,1.24258,0.00092825,0.00092825,0.00092825
15,2220.82,0.86558,0.6508,1.17763,0.90409,0.90207,0.93678,0.72996,0.81304,0.57966,1.24675,0.0009035,0.0009035,0.0009035
16,2368.57,0.86343,0.62151,1.17173,0.91565,0.8924,0.93463,0.72771,0.82832,0.56801,1.22369,0.00087875,0.00087875,0.00087875
17,2516.57,0.85563,0.62224,1.161,0.92343,0.91771,0.9555,0.75123,0.81345,0.54295,1.21,0.000854,0.000854,0.000854
18,2665.01,0.8393,0.6044,1.1592,0.91173,0.9215,0.94929,0.74818,0.81541,0.52128,1.21666,0.00082925,0.00082925,0.00082925
19,2812.81,0.81755,0.5753,1.13609,0.91919,0.91609,0.94321,0.74158,0.82649,0.52022,1.21113,0.0008045,0.0008045,0.0008045
20,2961.12,0.82443,0.59311,1.14689,0.90493,0.91557,0.95129,0.74376,0.80794,0.52402,1.21724,0.00077975,0.00077975,0.00077975
21,3109.38,0.81283,0.5677,1.14159,0.90747,0.92862,0.95302,0.76456,0.78474,0.48673,1.18695,0.000755,0.000755,0.000755
22,3257.75,0.80514,0.54868,1.13598,0.93103,0.90859,0.94816,0.75341,0.79342,0.4983,1.20068,0.00073025,0.00073025,0.00073025
23,3405.69,0.80301,0.54691,1.1357,0.93316,0.91847,0.95589,0.76335,0.77295,0.46666,1.17342,0.0007055,0.0007055,0.0007055
24,3553.69,0.79092,0.53221,1.12644,0.92084,0.94388,0.95744,0.7652,0.77402,0.46778,1.19545,0.00068075,0.00068075,0.00068075
25,3701.76,0.78765,0.52376,1.12186,0.91845,0.932,0.95222,0.7566,0.79939,0.47932,1.19934,0.000656,0.000656,0.000656
26,3849.72,0.78373,0.52555,1.12448,0.92281,0.93309,0.95405,0.77151,0.77393,0.46417,1.18876,0.00063125,0.00063125,0.00063125
