epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.988,1.2231,0.83191,1.22924,0.90638,0.894,0.93401,0.55943,1.38241,0.78393,1.32953,0.000666163,0.000666163,0.000666163
2,765.424,1.27924,0.78755,1.27499,0.93578,0.87852,0.94406,0.59382,1.34892,0.67799,1.29672,0.00128885,0.00128885,0.00128885
3,1134.18,1.25385,0.74994,1.26789,0.94998,0.89978,0.94403,0.61071,1.27889,0.66623,1.26116,0.00186753,0.00186753,0.00186753
4,1500.76,1.22378,0.70191,1.24712,0.9523,0.92073,0.95265,0.61831,1.2648,0.59741,1.25351,0.001802,0.001802,0.001802
5,1865.66,1.19798,0.66844,1.23332,0.96776,0.92495,0.96369,0.63539,1.24993,0.5445,1.23827,0.001736,0.001736,0.001736
6,2222.09,1.17688,0.63934,1.21851,0.96335,0.93996,0.96747,0.63696,1.23654,0.53716,1.23203,0.00167,0.00167,0.00167
7,2581.43,1.16647,0.61875,1.20683,0.97462,0.93652,0.9713,0.64976,1.21102,0.50554,1.21343,0.001604,0.001604,0.001604
8,2941.4,1.14941,0.60393,1.1994,0.96806,0.94278,0.97221,0.65691,1.18884,0.49692,1.19738,0.001538,0.001538,0.001538
9,3303.35,1.13564,0.58369,1.19241,0.97329,0.93995,0.97573,0.66678,1.17486,0.48547,1.18878,0.001472,0.001472,0.001472
10,3666.84,1.12388,0.5703,1.18449,0.97325,0.93874,0.97099,0.66319,1.19099,0.47455,1.20118,0.001406,0.001406,0.001406
11,4027.46,1.11625,0.5632,1.18144,0.96894,0.95108,0.97475,0.67265,1.15853,0.4676,1.1857,0.00134,0.00134,0.00134
12,4385.74,1.1028,0.5526,1.17458,0.97866,0.94662,0.97924,0.67698,1.1576,0.45391,1.17605,0.001274,0.001274,0.001274
13,4747.25,1.09129,0.54306,1.16765,0.97082,0.95028,0.97544,0.67807,1.14538,0.45411,1.17605,0.001208,0.001208,0.001208
14,5108.92,1.08965,0.53631,1.16911,0.97176,0.9523,0.97704,0.67945,1.1492,0.44317,1.17734,0.001142,0.001142,0.001142
15,5469.61,1.07763,0.5253,1.15556,0.97638,0.95006,0.97868,0.68457,1.13343,0.43702,1.15991,0.001076,0.001076,0.001076
16,5829.52,1.07176,0.51506,1.15266,0.97364,0.95281,0.97843,0.68005,1.15009,0.43014,1.1705,0.00101,0.00101,0.00101
17,6189.89,1.05634,0.50167,1.14695,0.977,0.95622,0.98131,0.68714,1.13339,0.43067,1.16698,0.000944,0.000944,0.000944
18,6552.38,1.04907,0.49659,1.14223,0.97732,0.95403,0.98132,0.68622,1.13035,0.42471,1.16169,0.000878,0.000878,0.000878
19,6913.45,1.04357,0.49083,1.13696,0.97735,0.95685,0.98241,0.69218,1.131,0.42041,1.1666,0.000812,0.000812,0.000812
20,7272.62,1.03741,0.48362,1.13311,0.97503,0.95251,0.98042,0.68785,1.13146,0.4162,1.15871,0.000746,0.000746,0.000746
21,7619.56,1.0177,0.40758,1.1636,0.98066,0.95114,0.98161,0.6975,1.12132,0.41696,1.15055,0.00068,0.00068,0.00068
22,7965.73,1.00366,0.39594,1.14957,0.97815,0.95966,0.98329,0.69777,1.11766,0.40763,1.15065,0.000614,0.000614,0.000614
23,8311.93,0.99339,0.39095,1.14878,0.97357,0.95872,0.98379,0.70057,1.1199,0.41042,1.15178,0.000548,0.000548,0.000548
24,8655.38,0.98266,0.38412,1.13788,0.97442,0.96435,0.98313,0.70272,1.11257,0.40112,1.14769,0.000482,0.000482,0.000482
25,9000.76,0.9736,0.37842,1.13271,0.98161,0.95966,0.98452,0.70658,1.10881,0.39521,1.14587,0.000416,0.000416,0.000416
26,9344.84,0.9605,0.36731,1.1246,0.98039,0.96148,0.98443,0.70354,1.10978,0.39657,1.14734,0.00035,0.00035,0.00035
27,9690.35,0.95233,0.36364,1.12187,0.97811,0.96401,0.98516,0.70263,1.11508,0.39538,1.15223,0.000284,0.000284,0.000284
28,10034.8,0.94331,0.35682,1.1148,0.97902,0.96301,0.98467,0.70411,1.11619,0.39307,1.15454,0.000218,0.000218,0.000218
29,10378.5,0.93388,0.35186,1.10816,0.97998,0.96482,0.98438,0.70167,1.11439,0.39263,1.15477,0.000152,0.000152,0.000152
30,10724.9,0.92559,0.34282,1.10472,0.98195,0.96341,0.98424,0.70189,1.11493,0.39124,1.1532,8.6e-05,8.6e-05,8.6e-05
